ALLSKY_KT,ALLSKY_SFC_SW_DWN,CLRSKY_SFC_SW_DWN,WS2M,T2M,RH2M,PS
0.56,3.94,4.38,3.76,24.3,75.5,100.81
0.62,4.37,4.44,3.41,26.2,56.81,100.34
0.56,3.9,4.15,2.81,23.39,61.12,100.63
0.61,4.15,4.27,1.54,23.96,58.06,100.74
0.62,4.17,4.22,2.75,24.14,62.12,100.88
0.51,3.41,4.34,3.7,22.95,68.56,100.99
0.58,3.86,4.03,4.78,23.29,68.31,100.98
0.59,3.89,4.06,2.51,23.12,64.31,100.97
0.56,3.69,4.15,3.22,22.35,74.38,100.89
0.55,3.58,3.98,1.95,22.8,65.56,100.79
0.48,3.08,4.25,3,22.83,55.69,100.42
0.38,2.38,3.92,2.62,21.65,59.31,100.12
0.6,3.81,3.84,4.09,22.88,49.81,100.51
0.65,4.05,4.07,3.52,23.01,49.25,100.74
0.7,4.39,4.39,2.88,24.32,41.88,100.68
0.72,4.42,4.42,3.6,22.19,75.5,100.66
0.47,2.87,4.16,2.22,22.22,79.44,100.33
0.43,2.6,4.17,3.96,21.78,81.25,100.13
0.45,2.69,4.03,6.37,19.08,70.38,100.71
0.27,1.62,4.03,4.39,19.1,69,101.21
0.56,3.32,3.39,2.34,20.34,70.5,101.35
0.35,2.05,4.02,2.66,19.94,75.19,101.4
0.41,2.35,3.77,2.3,19.15,81.12,101.3
0.3,1.76,3.98,2.45,17.9,81.75,101.31
0.35,1.99,4,4.23,18.67,80.94,101.18
0.5,2.82,3.69,4.03,18.79,70.06,101.03
0.37,2.08,3.9,5.68,17.39,75.44,100.93
0.55,3.11,3.78,5.14,16.65,70.25,101.22
0.45,2.52,3.64,4.29,17.19,66.5,101.06
0.2,1.09,3.83,5.05,15.32,73.88,100.62
0.52,2.82,3.54,3.59,16.12,75.25,101.17
0.3,1.62,3.79,1.84,15.99,78.31,101.46
0.61,3.28,3.36,2.8,16.73,68.88,101.08
0.66,3.51,3.82,3.3,15.9,63.62,100.91
0.55,2.9,2.97,4.87,15.79,58.88,100.85
0.55,2.88,3.04,3.27,15.38,56.56,100.71
0.56,2.94,3.28,2.75,16.26,59.06,100.56
0.66,3.38,3.39,4.98,12.98,64.75,100.88
0.54,2.77,3.12,5.55,12.1,47.25,100.72
0.6,3.08,3.3,4.38,13.02,49.5,100.37
0.6,3.06,3.23,3.71,13.65,54.69,100.48
0.55,2.75,3.15,1.83,14.09,56.5,100.78
0.55,2.77,2.87,4.71,12.69,52.62,100.69
0.53,2.66,2.92,5.08,10.65,63.44,100.69
0.55,2.73,2.99,5.31,10.62,63.44,100.71
0.56,2.78,3,4.66,10.91,68.38,101.08
0.54,2.65,3.06,3.84,11.45,64.25,101.34
0.54,2.65,2.89,4.37,10.58,63.81,101.26
0.55,2.64,2.85,3.81,10.33,61.5,101.25
0.48,2.32,2.82,3.32,10.81,60.25,100.99
0.53,2.57,2.79,1.82,9.74,57.06,101.39
0.53,2.56,3.03,2.27,10.47,55.19,101.26
0.49,2.36,2.86,3.77,12.36,55.62,100.15
0.53,2.53,2.96,5.2,10.81,54.38,100.31
0.53,2.52,2.72,6.19,8.28,53.81,100.26
0.45,2.16,2.7,4.62,8.71,64.25,100.26
0.35,1.67,3.16,6.09,9.53,71.44,100.34
0.55,2.61,2.89,2.86,10.31,59.69,100.72
0.46,2.19,2.95,3.49,9.3,64,101.16
0.54,2.54,2.87,3.17,9.95,55.81,101.26
0.55,2.6,2.79,1.26,10.71,58.81,100.97
0.55,2.6,2.81,1.27,10.9,59.62,100.94
0.56,2.62,2.78,1.56,11.57,58.06,101.11
0.52,2.45,2.84,2.57,11.73,78.94,101.21
0.27,1.27,3.26,3.52,12.83,91.44,101.1
0.41,1.93,3.05,1.71,13.99,88.19,100.84
0.17,0.8,2.88,3.52,11.89,91.5,100.62
0.59,2.8,3.04,7.28,10.88,74.44,100.64
0.59,2.76,2.94,4.85,10.48,74.75,101.19
0.58,2.73,3.04,1.44,11.55,69.81,101.46
0.59,2.81,2.87,3.22,11.38,67.94,101.52
0.39,1.84,3.1,3.43,11.76,79.25,101.6
0.65,3.05,3.06,1.69,11.01,75.81,102.29
0.62,2.92,2.93,4.02,10.63,73.88,102.39
0.6,2.85,2.99,5.59,10.98,72.88,101.99
0.53,2.52,3.15,4.36,10.47,71.25,101.72
0.59,2.81,2.94,2.28,12.55,72.94,101.99
0.61,2.92,3.02,1.47,11.41,78.38,102.04
0.55,2.67,3.22,3.95,10.23,78.38,101.63
0.5,2.41,2.94,3.3,11.83,75,101.52
0.62,2.99,3.01,2.8,10.14,68.06,101.86
0.62,3.06,3.08,4.5,9.5,74.75,101.79
0.61,3.01,3.03,5.25,9.07,70.81,101.86
0.62,3.06,3.08,2.83,9.27,60.06,102.17
0.65,3.21,3.22,2.34,10.33,63.44,102.42
0.62,3.08,3.12,3.43,10.55,62.88,102.25
0.62,3.08,3.11,4.49,10.54,57.06,101.72
0.62,3.12,3.15,3.52,10.1,59.25,100.99
0.36,1.8,3.62,5.27,8.62,70.12,100.47
